timestamp,open,high,low,close,volume
2020-01-02 09:00:00+00:00,155.1258,155.1258,155.1258,155.1258,130
2020-01-02 10:00:00+00:00,155.2467,155.3677,155.2467,155.3491,8800
2020-01-02 11:00:00+00:00,155.3398,155.3398,155.163,155.1816,7321
2020-01-02 12:00:00+00:00,155.1444,155.284,155.1444,155.2654,25378
2020-01-02 13:00:00+00:00,155.284,155.4514,155.1258,155.4142,57833
2020-01-02 14:00:00+00:00,155.4142,155.4142,153.9354,154.1586,2714533
2020-01-02 15:00:00+00:00,154.1772,154.1865,153.0983,153.647,2846585
2020-01-02 16:00:00+00:00,153.6377,153.7214,152.7448,153.1262,1751713
2020-01-02 17:00:00+00:00,153.1262,153.2192,152.996,153.2192,1423335
2020-01-02 18:00:00+00:00,153.2192,153.223,152.8007,152.9867,890282
2020-01-02 19:00:00+00:00,152.9774,153.6005,152.9588,153.5354,1216527
2020-01-02 20:00:00+00:00,153.5261,154.1772,153.4462,154.1586,2750617
2020-01-02 21:00:00+00:00,154.1679,154.3911,154.0191,154.3539,2474439
2020-01-02 22:00:00+00:00,154.3911,154.4283,154.3261,154.3911,4600
2020-01-02 23:00:00+00:00,154.3911,154.512,154.3911,154.4376,4203
2020-01-03 00:00:00+00:00,154.4097,154.4283,154.3539,154.3539,4500
2020-01-03 09:00:00+00:00,152.3728,152.3914,152.0008,152.0566,12616
2020-01-03 10:00:00+00:00,152.1961,152.224,151.48,151.48,7878
2020-01-03 11:00:00+00:00,151.573,151.852,151.5172,151.7869,24000
2020-01-03 12:00:00+00:00,151.7404,152.3821,151.7404,152.3821,81775
2020-01-03 13:00:00+00:00,152.2984,152.6891,151.852,152.5031,112033
2020-01-03 14:00:00+00:00,152.5217,154.1865,152.2519,152.9774,2282651
2020-01-03 15:00:00+00:00,152.9495,153.3401,152.5682,153.0053,2638591
2020-01-03 16:00:00+00:00,153.0127,153.4703,152.9309,153.2983,1392258
2020-01-03 17:00:00+00:00,153.3029,153.8423,153.3029,153.7028,875692
2020-01-03 18:00:00+00:00,153.7028,153.8237,152.9402,153.3401,1366967
2020-01-03 19:00:00+00:00,153.3494,153.4238,152.9867,153.3262,1319369
2020-01-03 20:00:00+00:00,153.3215,153.7028,153.3122,153.5447,2922438
2020-01-03 21:00:00+00:00,153.5447,153.647,153.3401,153.4517,1672846
2020-01-03 22:00:00+00:00,153.461,153.4796,153.4145,153.4796,154566
2020-01-03 23:00:00+00:00,153.4796,153.5075,153.461,153.4982,7254
2020-01-04 00:00:00+00:00,153.4424,153.5075,153.4331,153.4703,6009
2020-01-06 09:00:00+00:00,152.1403,152.3635,152.1403,152.3635,4864
2020-01-06 10:00:00+00:00,152.4565,152.4938,152.3356,152.4752,6250
2020-01-06 11:00:00+00:00,152.4379,152.5682,152.4007,152.4938,26085
2020-01-06 12:00:00+00:00,152.5031,152.7914,152.4845,152.7728,21756
