timestamp,open,high,low,close,volume
2020-01-02 09:00:00+00:00,297.1575,297.4698,297.1575,297.4422,28162
2020-01-02 10:00:00+00:00,297.433,297.58,297.433,297.5157,15076
2020-01-02 11:00:00+00:00,297.5433,297.5433,297.2585,297.2585,17510
2020-01-02 12:00:00+00:00,297.2402,297.4606,297.2402,297.4606,60570
2020-01-02 13:00:00+00:00,297.3136,297.6719,296.5237,297.6259,353819
2020-01-02 14:00:00+00:00,297.6168,297.6443,297.0565,297.479,5822265
2020-01-02 15:00:00+00:00,297.479,297.5065,296.3216,296.9095,5717140
2020-01-02 16:00:00+00:00,296.9187,297.0105,296.2482,296.7258,4356131
2020-01-02 17:00:00+00:00,296.735,297.1024,296.6064,297.0105,3245995
2020-01-02 18:00:00+00:00,297.0151,297.0197,296.6431,296.8314,2672356
2020-01-02 19:00:00+00:00,296.836,297.479,296.7993,297.3963,5857023
2020-01-02 20:00:00+00:00,297.3963,298.3791,297.3412,298.3699,13048994
2020-01-02 21:00:00+00:00,298.3607,298.6271,297.7449,298.6179,5571446
2020-01-02 22:00:00+00:00,298.5904,298.6914,298.3883,298.6087,333388
2020-01-02 23:00:00+00:00,298.572,298.7465,298.3975,298.5904,143622
2020-01-03 00:00:00+00:00,298.5628,298.6914,298.5353,298.6455,65075
2020-01-03 09:00:00+00:00,295.596,295.596,294.9714,295.2011,45754
2020-01-03 10:00:00+00:00,295.2286,295.3939,293.6396,293.9886,68069
2020-01-03 11:00:00+00:00,294.0621,294.7142,293.9794,294.4295,183494
2020-01-03 12:00:00+00:00,294.4111,295.3021,294.3377,295.2837,787718
2020-01-03 13:00:00+00:00,295.1368,296.4502,294.3836,295.5777,939367
2020-01-03 14:00:00+00:00,295.5501,296.6339,294.898,296.4456,8737914
2020-01-03 15:00:00+00:00,296.3216,296.7717,295.7889,296.2206,8067482
2020-01-03 16:00:00+00:00,296.2206,296.8911,295.8716,296.8064,4117277
2020-01-03 17:00:00+00:00,296.8085,297.2677,296.7901,297.0611,3712600
2020-01-03 18:00:00+00:00,297.0656,297.1851,296.0553,296.6248,6231070
2020-01-03 19:00:00+00:00,296.6248,296.9646,296.2849,296.9095,3556831
2020-01-03 20:00:00+00:00,296.9095,297.1851,296.1471,296.1655,13817187
2020-01-03 21:00:00+00:00,296.1655,298.3392,296.1104,296.2849,7506892
2020-01-03 22:00:00+00:00,296.2849,296.3951,296.1379,296.3676,2064403
2020-01-03 23:00:00+00:00,296.3676,296.5237,296.1379,296.3584,40958
2020-01-04 00:00:00+00:00,296.3951,296.4962,296.2665,296.3584,26157
2020-01-06 09:00:00+00:00,293.9703,294.402,293.906,294.3193,39140
2020-01-06 10:00:00+00:00,294.3468,294.604,294.3377,294.5214,23212
